pid,pclass,survived,sex,age,sibsp,parch,fare,embarked
70,1st,1,female,NA,0,1,55,Southampton
71,1st,0,male,NA,0,0,0,Southampton
72,1st,0,male,27,1,0,136.779205,Cherbourg
73,1st,1,female,26,1,0,136.779205,Cherbourg
74,1st,1,female,22,0,0,151.550003,Southampton
75,1st,0,male,NA,0,0,52,Southampton
76,1st,0,male,47,0,0,25.5874996,Southampton
77,1st,1,female,39,1,1,83.1583023,Cherbourg
78,1st,0,male,37,1,1,83.1583023,Cherbourg
79,1st,1,female,64,0,2,83.1583023,Cherbourg
80,1st,1,female,55,2,0,25.7000008,Southampton
81,1st,0,male,NA,0,0,26.5499992,Southampton
82,1st,0,male,70,1,1,71,Southampton
83,1st,1,female,36,0,2,71,Southampton
84,1st,1,female,64,1,1,26.5499992,Southampton
85,1st,0,male,39,1,0,71.2833023,Cherbourg
86,1st,1,female,38,1,0,71.2833023,Cherbourg
87,1st,1,male,51,0,0,26.5499992,Southampton
88,1st,1,male,27,0,0,30.5,Southampton
89,1st,1,female,33,0,0,151.550003,Southampton
90,1st,0,male,31,1,0,52,Southampton
91,1st,1,female,27,1,2,52,Southampton
92,1st,1,male,31,1,0,57,Southampton
93,1st,1,female,17,1,0,57,Southampton
94,1st,1,male,53,1,1,81.8582993,Southampton
95,1st,1,male,4,0,2,81.8582993,Southampton
96,1st,1,female,54,1,1,81.8582993,Southampton
97,1st,0,male,50,1,0,106.425003,Cherbourg
98,1st,1,female,27,1,1,247.520798,Cherbourg
99,1st,1,female,48,1,0,106.425003,Cherbourg
100,1st,1,female,48,1,0,39.5999985,Cherbourg
101,1st,1,male,49,1,0,56.9291992,Cherbourg
102,1st,0,male,39,0,0,29.7000008,Cherbourg
103,1st,1,female,23,0,1,83.1583023,Cherbourg
104,1st,1,female,38,0,0,227.524994,Cherbourg
105,1st,1,female,54,1,0,78.2667007,Cherbourg
106,1st,0,female,36,0,0,31.6791992,Cherbourg
107,1st,0,male,NA,0,0,221.779205,Southampton
108,1st,1,female,NA,0,0,31.6833,Southampton
109,1st,1,female,NA,0,0,110.883301,Cherbourg
110,1st,1,male,36,0,0,26.3875008,Southampton
111,1st,0,male,30,0,0,27.75,Cherbourg
112,1st,1,female,24,3,2,263,Southampton
113,1st,1,female,28,3,2,263,Southampton
114,1st,1,female,23,3,2,263,Southampton
115,1st,0,male,19,3,2,263,Southampton
116,1st,0,male,64,1,4,263,Southampton
117,1st,1,female,60,1,4,263,Southampton
118,1st,1,female,30,0,0,56.9291992,Cherbourg
119,1st,0,male,NA,0,0,26.5499992,Southampton
120,1st,1,male,50,2,0,133.649994,Southampton
121,1st,1,male,43,1,0,27.7208004,Cherbourg
122,1st,1,female,NA,1,0,133.649994,Southampton
123,1st,1,female,22,0,2,49.5,Cherbourg
124,1st,1,male,60,1,1,79.1999969,Cherbourg
125,1st,1,female,48,1,1,79.1999969,Cherbourg
126,1st,0,male,NA,0,0,0,Southampton
127,1st,0,male,37,1,0,53.0999985,Southampton
128,1st,1,female,35,1,0,53.0999985,Southampton
129,1st,0,male,47,0,0,38.5,Southampton
130,1st,1,female,35,0,0,211.5,Cherbourg
131,1st,1,female,22,0,1,59.4000015,Cherbourg
132,1st,1,female,45,0,1,59.4000015,Cherbourg
133,1st,0,male,24,0,0,79.1999969,Cherbourg
134,1st,1,male,49,1,0,89.1042023,Cherbourg
135,1st,1,female,NA,1,0,89.1042023,Cherbourg
136,1st,0,male,71,0,0,34.6542015,Cherbourg
137,1st,1,male,53,0,0,28.5,Cherbourg
138,1st,1,female,19,0,0,30,Southampton
139,1st,0,male,38,0,1,153.462494,Southampton
140,1st,1,female,58,0,1,153.462494,Southampton
141,1st,1,male,23,0,1,63.3582993,Cherbourg
142,1st,1,female,45,0,1,63.3582993,Cherbourg
143,1st,0,male,46,0,0,79.1999969,Cherbourg
144,1st,1,male,25,1,0,55.4417,Cherbourg
145,1st,1,female,25,1,0,55.4417,Cherbourg
146,1st,1,male,48,1,0,76.7292023,Cherbourg
147,1st,1,female,49,1,0,76.7292023,Cherbourg
148,1st,0,male,NA,0,0,42.4000015,Southampton
149,1st,0,male,45,1,0,83.4749985,Southampton
150,1st,1,female,35,1,0,83.4749985,Southampton
151,1st,0,male,40,0,0,0,Southampton
152,1st,1,male,27,0,0,76.7292023,Cherbourg
153,1st,1,male,NA,0,0,30,Southampton
154,1st,1,female,24,0,0,83.1583023,Cherbourg
155,1st,0,male,55,1,1,93.5,Southampton
156,1st,1,female,52,1,1,93.5,Southampton
157,1st,0,male,42,0,0,42.5,Southampton
158,1st,0,male,NA,0,0,51.8624992,Southampton
159,1st,0,male,55,0,0,50,Southampton
160,1st,1,female,16,0,1,57.9791985,Cherbourg
161,1st,1,female,44,0,1,57.9791985,Cherbourg
162,1st,1,female,51,1,0,77.9582977,Southampton
163,1st,0,male,42,1,0,52,Southampton
164,1st,1,female,35,1,0,52,Southampton
165,1st,1,male,35,0,0,26.5499992,Cherbourg
166,1st,1,male,38,1,0,90,Southampton
167,1st,0,male,NA,0,0,30.6958008,Cherbourg
168,1st,1,female,35,1,0,90,Southampton
169,1st,1,female,38,0,0,80,NA
170,1st,0,female,50,0,0,28.7124996,Cherbourg
171,1st,1,male,49,0,0,0,Southampton
172,1st,0,male,46,0,0,26,Southampton
173,1st,0,male,50,0,0,26,Southampton
174,1st,0,male,32.5,0,0,211.5,Cherbourg
175,1st,0,male,58,0,0,29.7000008,Cherbourg
176,1st,0,male,41,1,0,51.8624992,Southampton
177,1st,1,female,NA,1,0,51.8624992,Southampton
178,1st,1,male,42,1,0,52.5541992,Southampton
179,1st,1,female,45,1,0,52.5541992,Southampton
180,1st,0,male,NA,0,0,26.5499992,Southampton
181,1st,1,female,39,0,0,211.337494,Southampton
182,1st,1,female,49,0,0,25.9291992,Southampton
183,1st,1,female,30,0,0,106.425003,Cherbourg
184,1st,1,male,35,0,0,512.329224,Cherbourg
185,1st,0,male,NA,0,0,27.7208004,Cherbourg
186,1st,0,male,42,0,0,26.5499992,Southampton
187,1st,1,female,55,0,0,27.7208004,Cherbourg
188,1st,1,female,16,0,1,39.4000015,Southampton
189,1st,1,female,51,0,1,39.4000015,Southampton
190,1st,0,male,29,0,0,30,Southampton
191,1st,1,female,21,0,0,77.9582977,Southampton
192,1st,0,male,30,0,0,45.5,Southampton
193,1st,1,female,58,0,0,146.520798,Cherbourg
194,1st,1,female,15,0,1,211.337494,Southampton
195,1st,0,male,30,0,0,26,Southampton
196,1st,1,female,16,0,0,86.5,Southampton
197,1st,1,male,NA,0,0,29.7000008,Cherbourg
198,1st,0,male,19,1,0,53.0999985,Southampton
199,1st,1,female,18,1,0,53.0999985,Southampton
200,1st,1,female,24,0,0,49.5042,Cherbourg
201,1st,0,male,46,0,0,75.2416992,Cherbourg
202,1st,0,male,54,0,0,51.8624992,Southampton
203,1st,1,male,36,0,0,26.2875004,Southampton
204,1st,0,male,28,1,0,82.1707993,Cherbourg
205,1st,1,female,NA,1,0,82.1707993,Cherbourg
206,1st,0,male,65,0,0,26.5499992,Southampton
207,1st,0,male,44,2,0,90,Queenstown
208,1st,1,female,33,1,0,90,Queenstown
209,1st,1,female,37,1,0,90,Queenstown
210,1st,1,male,30,1,0,57.75,Cherbourg
211,1st,0,male,55,0,0,30.5,Southampton
212,1st,0,male,47,0,0,42.4000015,Southampton
213,1st,0,male,37,0,1,29.7000008,Cherbourg
214,1st,1,female,31,1,0,113.275002,Cherbourg
215,1st,1,female,23,1,0,113.275002,Cherbourg
216,1st,0,male,58,0,2,113.275002,Cherbourg
217,1st,1,female,19,0,2,26.2833004,Southampton
218,1st,0,male,64,0,0,26,Southampton
219,1st,1,female,39,0,0,108.900002,Cherbourg
220,1st,1,male,NA,0,0,25.7416992,Cherbourg
221,1st,1,female,22,0,1,61.9791985,Cherbourg
222,1st,0,male,65,0,1,61.9791985,Cherbourg
223,1st,0,male,28.5,0,0,27.7208004,Cherbourg
224,1st,0,male,NA,0,0,0,Southampton
225,1st,0,male,45.5,0,0,28.5,Southampton
226,1st,0,male,23,0,0,93.5,Southampton
227,1st,0,male,29,1,0,66.5999985,Southampton
228,1st,1,female,22,1,0,66.5999985,Southampton
229,1st,0,male,18,1,0,108.900002,Cherbourg
230,1st,1,female,17,1,0,108.900002,Cherbourg
231,1st,1,female,30,0,0,93.5,Southampton
232,1st,1,male,52,0,0,30.5,Southampton
233,1st,0,male,47,0,0,52,Southampton
234,1st,1,female,56,0,1,83.1583023,Cherbourg
235,1st,0,male,38,0,0,0,Southampton
236,1st,1,male,NA,0,0,39.5999985,Southampton
237,1st,0,male,22,0,0,135.633301,Cherbourg
238,1st,0,male,NA,0,0,227.524994,Cherbourg
239,1st,1,female,43,0,1,211.337494,Southampton
240,1st,0,male,31,0,0,50.4958,Southampton
241,1st,1,male,45,0,0,26.5499992,Southampton
242,1st,0,male,NA,0,0,50,Southampton
243,1st,1,female,33,0,0,27.7208004,Cherbourg
244,1st,0,male,46,0,0,79.1999969,Cherbourg
245,1st,0,male,36,0,0,40.125,Cherbourg
246,1st,1,female,33,0,0,86.5,Southampton
247,1st,0,male,55,1,0,59.4000015,Cherbourg
248,1st,1,female,54,1,0,59.4000015,Cherbourg
249,1st,0,male,33,0,0,26.5499992,Southampton
250,1st,1,male,13,2,2,262.375,Cherbourg
251,1st,1,female,18,2,2,262.375,Cherbourg
252,1st,1,female,21,2,2,262.375,Cherbourg
253,1st,0,male,61,1,3,262.375,Cherbourg
254,1st,1,female,48,1,3,262.375,Cherbourg
255,1st,1,male,NA,0,0,30.5,Southampton
256,1st,1,female,24,0,0,69.3000031,Cherbourg
257,1st,1,male,NA,0,0,26,Southampton
258,1st,1,female,35,1,0,57.75,Cherbourg
259,1st,1,female,30,0,0,31,Cherbourg
260,1st,1,male,34,0,0,26.5499992,Southampton
261,1st,1,female,40,0,0,153.462494,Southampton
262,1st,1,male,35,0,0,26.2875004,Southampton
263,1st,0,male,50,1,0,55.9000015,Southampton
264,1st,1,female,39,1,0,55.9000015,Southampton
265,1st,1,male,56,0,0,35.5,Cherbourg
266,1st,1,male,28,0,0,35.5,Southampton
267,1st,0,male,56,0,0,26.5499992,Southampton
268,1st,0,male,56,0,0,30.6958008,Cherbourg
269,1st,0,male,24,1,0,60,Southampton
270,1st,0,male,NA,0,0,26,Southampton
271,1st,1,female,18,1,0,60,Southampton
272,1st,1,male,24,1,0,82.2667007,Southampton
273,1st,1,female,23,1,0,82.2667007,Southampton
274,1st,1,male,6,0,2,134.5,Cherbourg
275,1st,1,male,45,1,1,134.5,Cherbourg
276,1st,1,female,40,1,1,134.5,Cherbourg
277,1st,0,male,57,1,0,146.520798,Cherbourg
278,1st,1,female,NA,1,0,146.520798,Cherbourg
279,1st,1,male,32,0,0,30.5,Cherbourg
280,1st,0,male,62,0,0,26.5499992,Southampton
281,1st,1,male,54,1,0,55.4417,Cherbourg
282,1st,1,female,43,1,0,55.4417,Cherbourg
283,1st,1,female,52,1,0,78.2667007,Cherbourg
284,1st,0,male,NA,0,0,27.7208004,Cherbourg
285,1st,1,female,62,0,0,80,NA
286,1st,0,male,67,1,0,221.779205,Southampton
287,1st,0,female,63,1,0,221.779205,Southampton
288,1st,0,male,61,0,0,32.3208008,Southampton
289,1st,1,female,48,0,0,25.9291992,Southampton
290,1st,1,female,18,0,2,79.6500015,Southampton
291,1st,0,male,52,1,1,79.6500015,Southampton
292,1st,1,female,39,1,1,79.6500015,Southampton
293,1st,1,male,48,1,0,52,Southampton
294,1st,1,female,NA,1,0,52,Southampton
295,1st,0,male,49,1,1,110.883301,Cherbourg
296,1st,1,male,17,0,2,110.883301,Cherbourg
297,1st,1,female,39,1,1,110.883301,Cherbourg
298,1st,1,female,NA,0,0,79.1999969,Cherbourg
299,1st,1,male,31,0,0,28.5375004,Cherbourg
300,1st,0,male,40,0,0,27.7208004,Cherbourg
301,1st,0,male,61,0,0,33.5,Southampton
302,1st,0,male,47,0,0,34.0208015,Southampton
303,1st,1,female,35,0,0,512.329224,Cherbourg
304,1st,0,male,64,1,0,75.25,Cherbourg
305,1st,1,female,60,1,0,75.25,Cherbourg
306,1st,0,male,60,0,0,26.5499992,Southampton
307,1st,0,male,54,0,1,77.2874985,Southampton
308,1st,0,male,21,0,1,77.2874985,Southampton
309,1st,1,female,55,0,0,135.633301,Cherbourg
310,1st,1,female,31,0,2,164.866699,Southampton
311,1st,0,male,57,1,1,164.866699,Southampton
312,1st,1,female,45,1,1,164.866699,Southampton
313,1st,0,male,50,1,1,211.5,Cherbourg
314,1st,0,male,27,0,2,211.5,Cherbourg
315,1st,1,female,50,1,1,211.5,Cherbourg
316,1st,1,female,21,0,0,26.5499992,Southampton
317,1st,0,male,51,0,1,61.3792,Cherbourg
318,1st,1,male,21,0,1,61.3792,Cherbourg
319,1st,0,male,NA,0,0,35,Southampton
320,1st,1,female,31,0,0,134.5,Cherbourg
321,1st,1,male,NA,0,0,35.5,Southampton
322,1st,0,male,62,0,0,26.5499992,Southampton
323,1st,1,female,36,0,0,135.633301,Cherbourg
324,2nd,0,male,30,1,0,24,Cherbourg
325,2nd,1,female,28,1,0,24,Cherbourg
326,2nd,0,male,30,0,0,13,Southampton
327,2nd,0,male,18,0,0,11.5,Southampton
328,2nd,0,male,25,0,0,10.5,Southampton
329,2nd,0,male,34,1,0,26,Southampton
330,2nd,1,female,36,1,0,26,Southampton
331,2nd,0,male,57,0,0,13,Southampton
332,2nd,0,male,18,0,0,11.5,Southampton
333,2nd,0,male,23,0,0,10.5,Southampton
334,2nd,1,female,36,0,0,13,Southampton
335,2nd,0,male,28,0,0,10.5,Southampton
336,2nd,0,male,51,0,0,12.5249996,Southampton
337,2nd,1,male,32,1,0,26,Southampton
338,2nd,1,female,19,1,0,26,Southampton
339,2nd,0,male,28,0,0,26,Southampton
340,2nd,1,male,1,2,1,39,Southampton
341,2nd,1,female,4,2,1,39,Southampton
342,2nd,1,female,12,2,1,39,Southampton
343,2nd,1,female,36,0,3,39,Southampton
344,2nd,1,male,34,0,0,13,Southampton
345,2nd,1,female,19,0,0,13,Southampton
346,2nd,0,male,23,0,0,13,Southampton
347,2nd,0,male,26,0,0,13,Southampton
348,2nd,0,male,42,0,0,13,Southampton
349,2nd,0,male,27,0,0,13,Southampton
350,2nd,1,female,24,0,0,13,Southampton
351,2nd,1,female,15,0,2,39,Southampton
352,2nd,0,male,60,1,1,39,Southampton
353,2nd,1,female,40,1,1,39,Southampton
354,2nd,1,female,20,1,0,26,Southampton
355,2nd,0,male,25,1,0,26,Southampton
356,2nd,1,female,36,0,0,13,Southampton
357,2nd,0,male,25,0,0,13,Southampton
358,2nd,0,male,42,0,0,13,Southampton
359,2nd,1,female,42,0,0,13,Southampton
360,2nd,1,male,0.833299994,0,2,29,Southampton
361,2nd,1,male,26,1,1,29,Southampton
362,2nd,1,female,22,1,1,29,Southampton
363,2nd,1,female,35,0,0,21,Southampton
364,2nd,0,male,NA,0,0,0,Southampton
365,2nd,0,male,19,0,0,13,Southampton
366,2nd,0,female,44,1,0,26,Southampton
367,2nd,0,male,54,1,0,26,Southampton
368,2nd,0,male,52,0,0,13.5,Southampton
369,2nd,0,male,37,1,0,26,Southampton
370,2nd,0,female,29,1,0,26,Southampton
371,2nd,1,female,25,1,1,30,Southampton
372,2nd,1,female,45,0,2,30,Southampton
373,2nd,0,male,29,1,0,26,Southampton
374,2nd,1,female,28,1,0,26,Southampton
375,2nd,0,male,29,0,0,10.5,Southampton
376,2nd,0,male,28,0,0,13,Southampton
377,2nd,1,male,24,0,0,10.5,Southampton
378,2nd,1,female,8,0,2,26.25,Southampton
379,2nd,0,male,31,1,1,26.25,Southampton
380,2nd,1,female,31,1,1,26.25,Southampton
381,2nd,1,female,22,0,0,10.5,Southampton
382,2nd,0,female,30,0,0,13,Southampton
383,2nd,0,female,NA,0,0,21,Southampton
384,2nd,0,male,21,0,0,11.5,Southampton
385,2nd,0,male,NA,0,0,0,Southampton
386,2nd,1,male,8,1,1,36.75,Southampton
387,2nd,0,male,18,0,0,73.5,Southampton
388,2nd,1,female,48,0,2,36.75,Southampton
389,2nd,1,female,28,0,0,13,Southampton
390,2nd,0,male,32,0,0,13,Southampton
391,2nd,0,male,17,0,0,73.5,Southampton
392,2nd,0,male,29,1,0,27.7208004,Cherbourg
393,2nd,1,female,24,1,0,27.7208004,Cherbourg
394,2nd,0,male,25,0,0,31.5,Southampton
395,2nd,0,male,18,0,0,73.5,Southampton
396,2nd,1,female,18,0,1,23,Southampton
397,2nd,1,female,34,0,1,23,Southampton
398,2nd,0,male,54,0,0,26,Southampton
399,2nd,1,male,8,0,2,32.5,Southampton
400,2nd,0,male,42,1,1,32.5,Southampton
401,2nd,1,female,34,1,1,32.5,Southampton
402,2nd,1,female,27,1,0,13.8583002,Cherbourg
403,2nd,1,female,30,1,0,13.8583002,Cherbourg
404,2nd,0,male,23,0,0,13,Southampton
405,2nd,0,male,21,0,0,13,Southampton
406,2nd,0,male,18,0,0,13,Southampton
407,2nd,0,male,40,1,0,26,Southampton
408,2nd,1,female,29,1,0,26,Southampton
409,2nd,0,male,18,0,0,10.5,Southampton
410,2nd,0,male,36,0,0,13,Southampton
411,2nd,0,male,NA,0,0,0,Southampton
412,2nd,0,female,38,0,0,13,Southampton
413,2nd,0,male,35,0,0,26,Southampton
414,2nd,0,male,38,1,0,21,Southampton
415,2nd,0,male,34,1,0,21,Southampton
416,2nd,1,female,34,0,0,13,Southampton
417,2nd,0,male,16,0,0,26,Southampton
418,2nd,0,male,26,0,0,10.5,Southampton
419,2nd,0,male,47,0,0,10.5,Southampton
420,2nd,0,male,21,1,0,11.5,Southampton
421,2nd,0,male,21,1,0,11.5,Southampton
422,2nd,0,male,24,0,0,13.5,Southampton
423,2nd,0,male,24,0,0,13,Southampton
424,2nd,0,male,34,0,0,13,Southampton
425,2nd,0,male,30,0,0,13,Southampton
426,2nd,0,male,52,0,0,13,Southampton
427,2nd,0,male,30,0,0,13,Southampton
428,2nd,1,male,0.666700006,1,1,14.5,Southampton
429,2nd,1,female,24,0,2,14.5,Southampton
430,2nd,0,male,44,0,0,13,Southampton
431,2nd,1,female,6,0,1,33,Southampton
432,2nd,0,male,28,0,1,33,Southampton
433,2nd,1,male,62,0,0,10.5,Southampton
434,2nd,0,male,30,0,0,10.5,Southampton
435,2nd,1,female,7,0,2,26.25,Southampton
436,2nd,0,male,43,1,1,26.25,Southampton
437,2nd,1,female,45,1,1,26.25,Southampton
438,2nd,1,female,24,1,2,65,Southampton
439,2nd,1,female,24,1,2,65,Southampton
440,2nd,0,male,49,1,2,65,Southampton
441,2nd,1,female,48,1,2,65,Southampton
442,2nd,1,female,55,0,0,16,Southampton
443,2nd,0,male,24,2,0,73.5,Southampton
444,2nd,0,male,32,2,0,73.5,Southampton
445,2nd,0,male,21,2,0,73.5,Southampton
446,2nd,0,female,18,1,1,13,Southampton
447,2nd,1,female,20,2,1,23,Southampton
448,2nd,0,male,23,2,1,11.5,Southampton
449,2nd,0,male,36,0,0,13,Southampton
450,2nd,1,female,54,1,3,23,Southampton
451,2nd,0,male,50,0,0,13,Southampton
452,2nd,0,male,44,1,0,26,Southampton
453,2nd,1,female,29,1,0,26,Southampton
454,2nd,0,male,21,0,0,73.5,Southampton
455,2nd,1,male,42,0,0,13,Southampton
456,2nd,0,male,63,1,0,26,Southampton
457,2nd,0,female,60,1,0,26,Southampton
458,2nd,0,male,33,0,0,12.2749996,Southampton
459,2nd,1,female,17,0,0,10.5,Southampton
460,2nd,0,male,42,1,0,27,Southampton
461,2nd,1,female,24,2,1,27,Southampton
462,2nd,0,male,47,0,0,15,Southampton
463,2nd,0,male,24,2,0,31.5,Southampton
464,2nd,0,male,22,2,0,31.5,Southampton
465,2nd,0,male,32,0,0,10.5,Southampton
466,2nd,1,female,23,0,0,13.7917004,Cherbourg
467,2nd,0,male,34,1,0,26,Southampton
468,2nd,1,female,24,1,0,26,Southampton
469,2nd,0,female,22,0,0,21,Southampton
470,2nd,1,female,NA,0,0,12.3500004,Queenstown
471,2nd,0,male,35,0,0,12.3500004,Queenstown
472,2nd,1,female,45,0,0,13.5,Southampton
473,2nd,0,male,57,0,0,12.3500004,Queenstown
474,2nd,0,male,NA,0,0,0,Southampton
475,2nd,0,male,31,0,0,10.5,Southampton
476,2nd,0,female,26,1,1,26,Southampton
477,2nd,0,male,30,1,1,26,Southampton
478,2nd,0,male,NA,0,0,10.7082996,Queenstown
479,2nd,1,female,1,1,2,41.5792007,Cherbourg
480,2nd,1,female,3,1,2,41.5792007,Cherbourg
481,2nd,0,male,25,1,2,41.5792007,Cherbourg
482,2nd,1,female,22,1,2,41.5792007,Cherbourg
483,2nd,1,female,17,0,0,12,Cherbourg
484,2nd,1,female,NA,0,0,33,Southampton
485,2nd,1,female,34,0,0,10.5,Southampton
486,2nd,0,male,36,0,0,12.875,Cherbourg
487,2nd,0,male,24,0,0,10.5,Southampton
488,2nd,0,male,61,0,0,12.3500004,Queenstown
489,2nd,0,male,50,1,0,26,Southampton
490,2nd,1,female,42,1,0,26,Southampton
491,2nd,0,female,57,0,0,10.5,Southampton
492,2nd,0,male,NA,0,0,15.0458002,Cherbourg
493,2nd,1,male,1,0,2,37.0042,Cherbourg
494,2nd,0,male,31,1,1,37.0042,Cherbourg
495,2nd,1,female,24,1,1,37.0042,Cherbourg
496,2nd,0,male,NA,0,0,15.5791998,Cherbourg
497,2nd,0,male,30,0,0,13,Southampton
498,2nd,0,male,40,0,0,16,Southampton
499,2nd,0,male,32,0,0,13.5,Southampton
500,2nd,0,male,30,0,0,13,Southampton
501,2nd,0,male,46,0,0,26,Southampton
502,2nd,1,female,13,0,1,19.5,Southampton
503,2nd,1,female,41,0,1,19.5,Southampton
504,2nd,1,male,19,0,0,10.5,Southampton
505,2nd,0,male,39,0,0,13,Southampton
506,2nd,0,male,48,0,0,13,Southampton
507,2nd,0,male,70,0,0,10.5,Southampton
508,2nd,0,male,27,0,0,13,Southampton
509,2nd,0,male,54,0,0,14,Southampton
510,2nd,0,male,39,0,0,26,Southampton
511,2nd,0,male,16,0,0,10.5,Southampton
512,2nd,0,male,62,0,0,9.6875,Queenstown
513,2nd,0,male,32.5,1,0,30.0708008,Cherbourg
514,2nd,1,female,14,1,0,30.0708008,Cherbourg
515,2nd,1,male,2,1,1,26,Southampton
516,2nd,1,male,3,1,1,26,Southampton
517,2nd,0,male,36.5,0,2,26,Southampton
518,2nd,0,male,26,0,0,13,Southampton
519,2nd,0,male,19,1,1,36.75,Southampton
520,2nd,0,male,28,0,0,13.5,Southampton
521,2nd,1,male,20,0,0,13.8625002,Cherbourg
522,2nd,1,female,29,0,0,10.5,Southampton
523,2nd,0,male,39,0,0,13,Southampton
524,2nd,1,male,22,0,0,10.5,Southampton
525,2nd,1,male,NA,0,0,13.8625002,Cherbourg
526,2nd,0,male,23,0,0,10.5,Southampton
527,2nd,1,male,29,0,0,13.8583002,Cherbourg
528,2nd,0,male,28,0,0,10.5,Southampton
529,2nd,0,male,NA,0,0,0,Southampton
530,2nd,1,female,50,0,1,26,Southampton
531,2nd,0,male,19,0,0,10.5,Southampton
532,2nd,0,male,NA,0,0,15.0500002,Cherbourg
533,2nd,0,male,41,0,0,13,Southampton
534,2nd,1,female,21,0,1,21,Southampton
535,2nd,1,female,19,0,0,26,Southampton
536,2nd,0,male,43,0,1,21,Southampton
537,2nd,1,female,32,0,0,13,Southampton
538,2nd,0,male,34,0,0,13,Southampton
539,2nd,1,male,30,0,0,12.7375002,Cherbourg
540,2nd,0,male,27,0,0,15.0333004,Cherbourg
541,2nd,1,female,2,1,1,26,Southampton
542,2nd,1,female,8,1,1,26,Southampton
543,2nd,1,female,33,0,2,26,Southampton
544,2nd,0,male,36,0,0,10.5,Southampton
545,2nd,0,male,34,1,0,21,Southampton
546,2nd,1,female,30,3,0,21,Southampton
547,2nd,1,female,28,0,0,13,Southampton
548,2nd,0,male,23,0,0,15.0458002,Cherbourg
549,2nd,1,male,0.833299994,1,1,18.75,Southampton
550,2nd,1,male,3,1,1,18.75,Southampton
551,2nd,1,female,24,2,3,18.75,Southampton
552,2nd,1,female,50,0,0,10.5,Southampton
